Date,Mean Precipitation
2000-01,23.7
2000-02,93.94
2000-03,112.15
2000-04,59.29
2000-05,367.77
2000-06,207.41
2000-07,649.61
2000-08,278.64
2000-09,366.04
2000-10,413.87
2000-11,143.24
2000-12,173.88
2001-01,11.5
2001-02,111.34
2001-03,32.04
2001-04,39.14
2001-05,237.46
2001-06,283.85
2001-07,275.13
2001-08,531.61
2001-09,169.29
2001-10,87.46
2001-11,89.03
2001-12,84.52
2002-01,12.79
2002-02,34.3
2002-03,5.99
2002-04,7.08
2002-05,111.24
2002-06,173.12
2002-07,682.16
2002-08,339.28
2002-09,373.64
2002-10,133.6
2002-11,136.56
2002-12,10.84
2003-01,6.3
2003-02,2.43
2003-03,5.17
2003-04,26.77
2003-05,365.35
2003-06,98.16
2003-07,252.84
2003-08,334.03
2003-09,276.6
2003-10,79.56
2003-11,64.94
2003-12,25.51
2004-01,5.2
2004-02,48.21
2004-03,13.29
2004-04,19.49
2004-05,170.17
2004-06,288.63
2004-07,260.79
2004-08,420.69
2004-09,129.73
2004-10,77.72
2004-11,101.02
2004-12,95.31
2005-01,8.24
2005-02,5.94
2005-03,11.11
2005-04,13.28
2005-05,94.36
2005-06,271.2
2005-07,359.85
2005-08,386.22
2005-09,313.45
2005-10,264.25
2005-11,113.81
2005-12,182.47
2006-01,68.88
2006-02,13.14
2006-03,82.85
2006-04,9.87
2006-05,150.07
2006-06,180.54
2006-07,514.56
2006-08,334.93
2006-09,351.93
2006-10,141.77
2006-11,57.93
2006-12,137.03
2007-01,18.3
2007-02,8.57
2007-03,8.1
2007-04,11.39
2007-05,123.15
2007-06,150.98
2007-07,260.03
2007-08,439.3
2007-09,416.36
2007-10,141.92
2007-11,169.99
2007-12,49.22
2008-01,98.96
2008-02,128.21
2008-03,19.04
2008-04,39.82
2008-05,311.81
2008-06,245.22
2008-07,301.18
2008-08,362.52
2008-09,342.41
2008-10,175.19
2008-11,93.48
2008-12,67.42
2009-01,36.31
2009-02,47.64
2009-03,47.23
2009-04,180.35
2009-05,308.51
2009-06,297.95
2009-07,430.12
2009-08,279.59
2009-09,657.49
2009-10,239.51
2009-11,22.24
2009-12,5.73
2010-01,16.72
2010-02,3.04
2010-03,20.07
2010-04,46.32
2010-05,43.56
2010-06,245.28
2010-07,389.17
2010-08,289.56
2010-09,226.66
2010-10,238.95
2010-11,123.68
2010-12,49.48
2011-01,42.29
2011-02,22.25
2011-03,93.11
2011-04,13.66
2011-05,220.35
2011-06,482.93
2011-07,495.54
2011-08,322.82
2011-09,348.21
2011-10,217.26
2011-11,118.54
2011-12,167.04
2012-01,31.12
2012-02,60.79
2012-03,85.93
2012-04,22.35
2012-05,219.8
2012-06,310.4
2012-07,501.74
2012-08,466.88
2012-09,368.09
2012-10,149.59
2012-11,14.47
2012-12,57.85
2013-01,26.56
2013-02,31.69
2013-03,17.68
2013-04,20.7
2013-05,127.94
2013-06,367.48
2013-07,325.63
2013-08,338.26
2013-09,573.88
2013-10,186.88
2013-11,65.47
2013-12,69.57
2014-01,3.07
2014-02,5.27
2014-03,27.19
2014-04,31.51
2014-05,91.11
2014-06,305.4
2014-07,427.56
2014-08,332.62
2014-09,431.95
2014-10,237.57
2014-11,52.56
2014-12,174.15
2015-01,58.54
2015-02,11.97
2015-03,8.46
2015-04,23.45
2015-05,93.66
2015-06,163.62
2015-07,342.93
2015-08,318.04
2015-09,318.25
2015-10,285.85
2015-11,6.51
2015-12,249.92
2016-01,12.84
2016-02,30.71
2016-03,21.06
2016-04,16.66
2016-05,138.96
2016-06,228.82
2016-07,353.6
2016-08,470.91
2016-09,274.58
2016-10,306.83
2016-11,65.84
2016-12,248.98
2017-01,102.56
2017-02,13.55
2017-03,7.15
2017-04,31.2
2017-05,140.38
2017-06,198.61
2017-07,391.88
2017-08,353.68
2017-09,382.31
2017-10,310.35
2017-11,109.96
2017-12,111.39
2018-01,202.3
2018-02,10.9
2018-03,8.85
2018-04,11.78
2018-05,45.6
2018-06,429.38
2018-07,651.3
2018-08,448.42
2018-09,304.89
2018-10,169.1
2018-11,8.27
2018-12,196.23
2019-01,5.54
2019-02,3.93
2019-03,8.89
2019-04,17.28
2019-05,171
2019-06,238.24
2019-07,354.02
2019-08,470.34
2019-09,386.04
2019-10,41.75
2019-11,87.14
2019-12,90.4
2020-01,14.34
2020-02,11.18
2020-03,8.95
2020-04,15.04
2020-05,217.6
2020-06,226.58
2020-07,382.88
2020-08,364.11
2020-09,248.34
2020-10,476.42
2020-11,284.53
2020-12,297.17
2021-01,81.22
2021-02,67.53
2021-03,38.46
2021-04,22.26
2021-05,40.09
2021-06,249.48
2021-07,389.07
2021-08,297.6
2021-09,397.43
2021-10,196.2
2021-11,90.52
2021-12,59.81
2022-01,19.38
2022-02,8.82
2022-03,20.15
2022-04,31.02
2022-05,232.5
2022-06,265.77
2022-07,400.77
2022-08,484.22
2022-09,359.2
2022-10,334.22
2022-11,94.27
2022-12,86.54
