,Diesel,Gasoline,Kerosene,LPG
Jan-00,9.89,13.68,9.24,8.92
Feb-00,10.37,14.17,9.79,8.92
Mar-00,11.17,14.97,10.62,9.48
Apr-00,11.07,14.73,10.62,9.48
May-00,11.07,14.73,10.62,9.48
Jun-00,11.47,15.13,11.02,9.48
Jul-00,12.57,16.23,12.12,10.04
Aug-00,12.57,16.23,12.12,10.6
Sep-00,13.04,16.7,12.59,10.6
Oct-00,14.23,17.91,13.77,10.6
Nov-00,14.24,17.91,13.79,10.6
Dec-00,14.24,17.91,13.79,10.6
Jan-01,13.82,17.4,13.37,10.6
Feb-01,13.82,17.4,13.37,11.42
Mar-01,13.82,17.4,13.37,11.42
Apr-01,13.82,17.4,13.37,10.59
May-01,14.26,17.86,13.8,10.59
Jun-01,14.26,17.86,13.8,10.59
Jul-01,14.5,18.05,14.04,10.59
Aug-01,14.4,17.93,13.94,10.28
Sep-01,14.4,17.93,13.94,10.28
Oct-01,13.92,17.27,13.5,10.28
Nov-01,13.52,16.66,13.1,10.28
Dec-01,12.92,16.06,12.5,9.72
Jan-02,12.62,15.71,12.2,9.72
Feb-02,12.62,15.71,12.2,9.72
Mar-02,12.92,16.06,12.5,9.72
Apr-02,13.79,16.93,13.37,9.72
May-02,14.18,17.32,13.76,9.72
Jun-02,13.83,16.97,13.41,9.72
Jul-02,13.83,16.97,13.41,9.72
Aug-02,14.13,17.27,13.71,10.17
Sep-02,14.52,17.66,14.14,10.73
Oct-02,15.02,18.46,14.94,11.42
Nov-02,14.82,18.21,14.74,12.09
Dec-02,14.4,17.81,14.33,12.09
Jan-03,14.82,18.9,14.89,12.65
Feb-03,15.71,19.95,15.78,13.6
Mar-03,16.41,20.75,16.08,13.88
Apr-03,16.21,20.45,15.88,12.98
May-03,15.31,19.25,14.98,11.37
Jun-03,15.31,19.25,14.98,11.37
Jul-03,15.31,19.25,14.98,11.37
Aug-03,16.11,20.25,15.78,11.65
Sep-03,16.01,19.95,15.78,11.65
Oct-03,16.26,20.2,16.03,11.65
Nov-03,16.96,20.9,16.73,12.21
Dec-03,16.96,20.9,16.73,13.05
Jan-04,17.46,22.03,17.53,13.55
Feb-04,17.76,22.63,17.83,13.97
Mar-04,18.16,23.23,17.83,13.13
Apr-04,18.46,23.53,17.83,13.86
May-04,19.46,24.53,18.83,14.97
Jun-04,20.36,25.43,19.73,15.54
Jul-04,20.36,25.43,19.73,15.21
Aug-04,21.51,26.58,20.88,15.44
Sep-04,22.26,26.63,21.63,16.64
Oct-04,23.41,27.43,22.78,17.2
Nov-04,23.91,28.43,23.28,18.03
Dec-04,23.91,28.13,23.28,16.92
Jan-05,23.95,27.17,23.37,16.36
Feb-05,24.75,28.17,24.17,16.58
Mar-05,26.75,30.17,26.17,16.58
Apr-05,27.89,31.34,27.32,17.42
May-05,27.95,29.17,27.37,17.42
Jun-05,29.45,30.67,28.87,17.14
Jul-05,30.46,32.18,29.88,17.14
Aug-05,31.46,33.18,30.88,17.42
Sep-05,32.5,34.74,31.95,18.54
Oct-05,33.49,36.12,32.9,20.69
Nov-05,32.69,36.12,31.17,22.46
Dec-05,32.34,35.86,30.85,22.46
Jan-06,33.17,36.62,31.67,23.08
Feb-06,33.77,37.3,32.24,23.94
Mar-06,34.27,36.8,32.74,21.93
Apr-06,36.27,38.8,34.74,19.12
May-06,38.27,40.8,36.24,20.06
Jun-06,40.27,42.8,36.24,20.37
Jul-06,41.27,43.8,37.24,21.31
Aug-06,39.77,42.18,37.24,22.25
Sep-06,37.27,39.68,35.24,22.56
Oct-06,35.77,38.18,33.74,21
Nov-06,34.77,37.18,33.24,20.68
Dec-06,34.77,37.18,33.24,20.68
Jan-07,33.29,35.68,31.75,21.92
Feb-07,32.99,35.38,31.45,21.29
Mar-07,33.99,36.88,32.45,20.66
Apr-07,34.99,37.88,33.45,21.29
May-07,35.99,39.38,34.45,21.92
Jun-07,35.99,40.38,34.45,22.54
Jul-07,36.49,40.88,34.95,21.87
Aug-07,36.49,40.88,34.95,22.18
Sep-07,36.99,41.38,35.95,22.5
Oct-07,37.99,42.38,36.95,24.06
Nov-07,39.49,43.86,37.95,26.25
Dec-07,39.99,44.36,38.45,27.82
Jan-08,39.99,44.36,38.45,27.82
Feb-08,39.52,43.86,36.94,26.21
Mar-08,42.02,46.36,39.44,25.9
Apr-08,43.52,47.86,40.94,25.9
May-08,49.02,53.36,46.44,27.46
Jun-08,55.02,59.36,52.44,29.32
Jul-08,60.5,60.36,58.01,30.87
Aug-08,56.52,54.86,53.94,28.4
Sep-08,52.52,50.86,49.94,27.78
Oct-08,46.94,46.65,46.09,26.31
Nov-08,41.36,42.43,42.24,24.84
Dec-08,35.78,38.22,38.39,23.37
Jan-09,30.2,34,34.53,21.89
Feb-09,24.99,34.49,32.93,25.38
Mar-09,23.22,34.83,31.36,24.44
Apr-09,25.73,37.85,32.99,23.15
May-09,26,38.14,33.24,22.93
Jun-09,29.61,41.67,37.28,24.08
Jul-09,28.74,40.88,36.93,26.77
Aug-09,30.4,43.76,38.96,26.46
Sep-09,28.53,43.34,38.85,28.6
Oct-09,28.28,41.89,38.35,28.78
Nov-09,29.22,42.54,38.91,29.54
Dec-09,32.1,44.57,40.46,32.98
Jan-10,33.12,46.25,41.29,32.97
Feb-10,32.13,45.98,39.86,32.97
Mar-10,33.83,47.76,41.43,32.67
Apr-10,34.73,48.54,42.32,32.66
May-10,34.47,47.75,41.83,32.66
Jun-10,33.47,46.61,40.84,31.72
Jul-10,33.48,46.35,40.86,30.51
Aug-10,33.52,46.04,40.86,29.88
Sep-10,32.68,45.28,40.08,31.28
Oct-10,33.75,46.65,41.14,32.56
Nov-10,34.81,47.96,42.43,34.52
Dec-10,36.66,50.47,44.38,38.5
Jan-11,39.27,52.78,46.37,38.67
Feb-11,41.19,53.62,48.24,36.44
Mar-11,45.54,57.29,52.08,37.14
Apr-11,47.83,59.31,53.98,38.28
May-11,45.6,59.57,51.76,40.37
Jun-11,45.05,58.26,51.04,39.22
Jul-11,44.71,58.68,50.26,37.96
Aug-11,43.93,58.35,49.6,38.91
Sep-11,43.95,59.6,49.49,38.46
Oct-11,43.38,59.1,49.18,37.68
